Node Number	X Location (m)	Y Location (m)	Z Location (m)	Total Deformation (m)
23606	1.6684	1.7194e-002	5.0369e-002	6.7762e-002
23607	1.6363	1.8836e-002	5.5445e-002	6.5376e-002
23608	1.65	6.8974e-003	3.6868e-002	6.622e-002
23609	1.6674	8.2817e-003	3.6792e-002	6.7552e-002
23610	1.5479	7.8054e-004	2.3233e-002	5.8638e-002
23611	1.5287	-8.2205e-004	2.3002e-002	5.7259e-002
23612	1.5339	5.5329e-003	4.856e-002	5.7749e-002
23613	1.5287	-3.3644e-003	3.5392e-002	5.7246e-002
23614	1.5513	-1.317e-003	3.598e-002	5.888e-002
23615	1.478	-5.0545e-003	2.2384e-002	5.3691e-002
23616	1.5074	-2.599e-003	2.2744e-002	5.5748e-002
23617	1.513	3.7584e-003	4.8377e-002	5.6255e-002
23618	1.4754	3.0163e-003	5.3647e-002	5.367e-002
23619	1.5074	-5.1413e-003	3.5134e-002	5.5735e-002
23620	1.4861	-5.96e-003	3.7569e-002	5.4259e-002
23621	1.3908	-1.2345e-002	2.1296e-002	4.7804e-002
23622	1.3715	-1.3955e-002	2.1052e-002	4.6548e-002
23623	1.3766	-8.464e-003	4.5333e-002	4.697e-002
23624	1.3723	-1.6209e-002	3.4532e-002	4.6592e-002
23625	1.394	-1.3624e-002	3.6725e-002	4.8019e-002
23626	1.3217	-1.8116e-002	2.0414e-002	4.3376e-002
23627	1.3517	-1.5604e-002	2.08e-002	4.5279e-002
23628	1.3568	-1.0113e-002	4.5207e-002	4.5699e-002
23629	1.3181	-1.102e-002	5.0861e-002	4.3292e-002
23630	1.3319	-1.7865e-002	3.8441e-002	4.4046e-002
23631	1.3525	-1.7858e-002	3.428e-002	4.5325e-002
23632	1.2319	-2.5615e-002	1.924e-002	3.7924e-002
23633	1.2134	-2.7168e-002	1.8993e-002	3.6838e-002
23634	1.2186	-2.1551e-002	4.4599e-002	3.7246e-002
23635	1.2137	-2.9576e-002	3.2603e-002	3.6855e-002
23636	1.2344	-2.699e-002	3.5132e-002	3.8075e-002
23637	1.1638	-3.131e-002	1.8327e-002	3.4017e-002
23638	1.1936	-2.8817e-002	1.8729e-002	3.5702e-002
23639	1.1989	-2.3192e-002	4.4491e-002	3.6104e-002
