Node Number	X Location (m)	Y Location (m)	Z Location (m)	Total Deformation (m)
112	1.5789	-5.9855e-003	3.9792e-003	0.16003
113	1.7368	6.4174e-002	-6.5156e-002	0.15511
114	1.7368	3.2149e-002	-4.426e-002	0.16591
115	1.7368	1.1698e-002	-1.1946e-002	0.1728
116	1.7368	7.0654e-003	6.7818e-003	0.17448
117	1.8947	7.4106e-002	-5.917e-002	0.16294
118	1.8947	4.3749e-002	-3.9153e-002	0.17425
119	1.8947	2.445e-002	-8.3328e-003	0.18156
120	1.8947	2.0129e-002	9.4986e-003	0.18332
121	2.0526	8.4056e-002	-5.3191e-002	0.16451
122	2.0526	5.5381e-002	-3.4079e-002	0.1762
123	2.0526	3.7226e-002	-4.7884e-003	0.18361
124	2.0526	3.3204e-002	1.2129e-002	0.18539
125	2.2105	9.4021e-002	-4.7218e-002	0.15804
126	2.2105	6.7045e-002	-2.9038e-002	0.16987
127	2.2105	5.0026e-002	-1.3138e-003	0.17741
128	2.2105	4.6289e-002	1.4671e-002	0.17923
129	2.3684	0.104	-4.1251e-002	0.14506
130	2.3684	7.8739e-002	-2.4031e-002	0.15666
131	2.3684	6.2849e-002	2.0906e-003	0.1639
132	2.3684	5.9383e-002	1.7126e-002	0.16564
133	2.5263	0.114	-3.5291e-002	0.12513
134	2.5263	9.0462e-002	-1.9056e-002	0.13624
135	2.5263	7.5693e-002	5.4245e-003	0.14309
136	2.5263	7.2484e-002	1.9492e-002	0.14474
137	2.6842	0.124	-2.9335e-002	0.10083
138	2.6842	0.10221	-1.4115e-002	0.11107
139	2.6842	8.8558e-002	8.6868e-003	0.11728
140	2.6842	8.5592e-002	2.1768e-002	0.11889
141	2.8421	0.13401	-2.3385e-002	7.6223e-002
142	2.8421	0.11399	-9.2071e-003	8.5339e-002
143	2.8421	0.10144	1.1877e-002	9.0652e-002
144	2.8421	9.8706e-002	2.3953e-002	9.1918e-002
145	3.	0.14402	-1.7438e-002	4.8136e-002
146	3.	0.12578	-4.3313e-003	5.6408e-002
147	3.	0.11434	1.4994e-002	6.2313e-002
148	3.	0.11182	2.6045e-002	6.3591e-002
149	3.	0.16599	-2.2125e-002	3.7845e-002
150	2.8421	0.15806	-2.822e-002	6.3206e-002
151	2.6842	0.15011	-3.4313e-002	8.7145e-002
152	2.5263	0.14212	-4.0406e-002	0.11078
153	2.3684	0.13412	-4.6498e-002	0.13004
154	2.2105	0.1261	-5.2589e-002	0.14355
155	2.0526	0.11807	-5.8681e-002	0.14987
156	1.8947	0.11003	-6.4772e-002	0.1495
157	1.7368	0.10198	-7.0864e-002	0.14169
158	1.5789	9.3927e-002	-7.6956e-002	0.12982
159	1.421	8.5864e-002	-8.3048e-002	0.11298
160	1.2631	7.7797e-002	-8.914e-002	9.5152e-002
161	1.1052	6.9724e-002	-9.5232e-002	7.6e-002
162	0.94736	6.1648e-002	-0.10132	5.8198e-002
163	0.78946	5.3569e-002	-0.10742	4.2451e-002
164	0.63157	4.5486e-002	-0.11351	2.874e-002
165	0.47368	3.7401e-002	-0.1196	1.9234e-002
166	0.31578	2.9314e-002	-0.1257	1.0757e-002
167	0.15789	2.1225e-002	-0.13179	5.3574e-003
168	0.15787	1.0061	-2.546e-003	1.734e-002
169	0.31571	0.97839	-4.8251e-003	4.5379e-002
170	0.47353	0.9506	-6.8359e-003	7.0752e-002
171	0.63134	0.92271	-8.5759e-003	9.259e-002
172	0.78914	0.89476	-1.0043e-002	0.10911
173	0.94693	0.86679	-1.1234e-002	0.11956
174	1.1047	0.83884	-1.2148e-002	0.12498
175	1.2626	0.81094	-1.2784e-002	0.12563
176	1.4204	0.78314	-1.3142e-002	0.12328
177	1.5782	0.75547	-1.3222e-002	0.12006
178	1.7361	0.72797	-1.3025e-002	0.11689
179	1.894	0.70066	-1.2551e-002	0.11771
180	2.052	0.67355	-1.1801e-002	0.12046
181	2.21	0.64664	-1.0775e-002	0.13076
182	2.368	0.61988	-9.4689e-003	0.14207
183	2.526	0.59324	-7.8781e-003	0.16008
184	2.684	0.56661	-5.9931e-003	0.18006
185	2.842	0.5399	-3.8004e-003	0.21081
